source_row,费用类型,审核时看什么,费控需要提供的接口,规则标准,员工端显示报错问题,制度索引,问题分类,优化后具体问题说明,优化动作分类,优化后建议,rule_key,reason_code,audit_content,data_dependency,rule_condition,reason_code_source,policiesIndex,problem_category,message,optimization_action_category,employeeSuggestionTips
2,差旅费-市内交通费-市内交通、场站用车,检查市内交通费&场站用车发票金额是否充足,新增 市内交通费标准,"①报销标准=场站用车报销额度+出差天数*该城市市内交通费标准
②填单金额=自购交通费+差旅其他-特殊时间段交通费
③票据金额=符合市内交通费发票报销项目的票据",E38 市内交通费超出报销标准,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,本次市内交通及场站用车填报金额为 {填报金额} 元，高于可报销标准 {报销标准} 元或有效票据金额 {票据金额} 元。,【补充发票】【调减金额】,请补充上传符合市内交通费范围的有效票据，或将填报金额调减至报销标准和有效票据金额以内。,travel_r02_检查市内交通费_场站用车发票金额是否充足,E38,检查市内交通费&场站用车发票金额是否充足,新增 市内交通费标准,"①报销标准=场站用车报销额度+出差天数*该城市市内交通费标准
②填单金额=自购交通费+差旅其他-特殊时间段交通费
③票据金额=符合市内交通费发票报销项目的票据",E38 市内交通费超出报销标准,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,本次市内交通及场站用车填报金额为 {填报金额} 元，高于可报销标准 {报销标准} 元或有效票据金额 {票据金额} 元。,【补充发票】【调减金额】,请补充上传符合市内交通费范围的有效票据，或将填报金额调减至报销标准和有效票据金额以内。
3,差旅费-市内交通费-市内交通、场站用车,检查出租车发票号码是否连续,新增 人员岗位字段（岗位名称需准确）,"发票字段发票号码
发票号码后两位截掉看前6位是否一致，一致则视同发票号连续",W19 修改为 E34 E42检查出租车发票号码是否连续,【删除发票】删除本票据，并提供真实业务开具的、合规合法发票,票据 发票号 {发票号} 与本核销单或历史核销单中的其他出租车发票号码 {发票号}连续或近似，存在异常报销风险。,【删除票据】,请确认票据是否真实对应本次业务出行。无法说明合理业务原因的，请删除相关票据；保留提交的，系统将记录并转财务复核。,,travel_r03_检查出租车发票号码是否连续,E42,检查出租车发票号码是否连续,新增 人员岗位字段（岗位名称需准确）,"发票字段发票号码
发票号码后两位截掉看前6位是否一致，一致则视同发票号连续",W19 修改为 E34 E42检查出租车发票号码是否连续,【删除发票】删除本票据，并提供真实业务开具的、合规合法发票,票据 发票号 {发票号} 与本核销单或历史核销单中的其他出租车发票号码 {发票号}连续或近似，存在异常报销风险。,【删除票据】,请确认票据是否真实对应本次业务出行。无法说明合理业务原因的，请删除相关票据；保留提交的，系统将记录并转财务复核。,
4,差旅费-市内交通费-市内交通,检查销售/售前岗位国内行程是否未填报市内交通费 ,新增核销单中行程日期字段（差旅申请系统中的行程日期）,"“售前”“销售” 岗位不允许报销市内交通，
检查核销单中核销人岗位是否为“售前”“销售”，如是，则市内交通费可报销额度为0，如不是则按照天数*标准",E23 特定岗位不允许填报市内交通费,"《锐捷网络员工费用管理与报销制度》
 4.3.2.2 禁止报销：销售/售前岗位市内交通费（不含租车）在个人交通费中填报。",岗位标准不符,核销人岗位为“{岗位名称}”，按规则销售/售前岗位国内行程市内交通费可报销额度为 0，本次仍填报市内交通费。,【调减金额】【业务确认】,请核对人员岗位和费用类型。若岗位信息有误，请联系人力维护后再提交；若规则适用，请删除或调减市内交通费金额。,travel_r04_检查销售_售前岗位国内行程是否未填报市内交通费,E23,检查销售/售前岗位国内行程是否未填报市内交通费 ,新增核销单中行程日期字段（差旅申请系统中的行程日期）,"“售前”“销售” 岗位不允许报销市内交通，
检查核销单中核销人岗位是否为“售前”“销售”，如是，则市内交通费可报销额度为0，如不是则按照天数*标准",E23 特定岗位不允许填报市内交通费,"《锐捷网络员工费用管理与报销制度》
 4.3.2.2 禁止报销：销售/售前岗位市内交通费（不含租车）在个人交通费中填报。",岗位标准不符,核销人岗位为“{岗位名称}”，按规则销售/售前岗位国内行程市内交通费可报销额度为 0，本次仍填报市内交通费。,【调减金额】【业务确认】,请核对人员岗位和费用类型。若岗位信息有误，请联系人力维护后再提交；若规则适用，请删除或调减市内交通费金额。
5,差旅费-市内交通费-市内交通,检查市内交通 票据日期与核销单中差旅行程日期是否一致,新增 差旅申请系统行程信息接口（需要明确的时间点）,"发票票种、发票行程日期、核销单中行程日期（差旅平台中的行程日期）
发票开票日期在核销单中行程日期范围内和日期之后中的起始日期比对，需等于晚于起始日期，否则报错",E20-1 市内交通费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,票据 发票号 {发票号} 的票据日期 {票据日期} 不在本次差旅行程日期 {行程起止日期} 范围内或不符合行程衔接规则。,【核对行程】【换开发票】,请上传本次差旅行程期间发生的交通票据。若非本次差旅票据，请提供本次差旅行程产生的票据。,travel_r05_检查市内交通_票据日期与核销单中差旅行程日期是否一致,E20-1,检查市内交通 票据日期与核销单中差旅行程日期是否一致,新增 差旅申请系统行程信息接口（需要明确的时间点）,"发票票种、发票行程日期、核销单中行程日期（差旅平台中的行程日期）
发票开票日期在核销单中行程日期范围内和日期之后中的起始日期比对，需等于晚于起始日期，否则报错",E20-1 市内交通费（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,票据 发票号 {发票号} 的票据日期 {票据日期} 不在本次差旅行程日期 {行程起止日期} 范围内或不符合行程衔接规则。,【核对行程】【换开发票】,请上传本次差旅行程期间发生的交通票据。若非本次差旅票据，请提供本次差旅行程产生的票据。
6,差旅费-市内交通费-场站用车,检查是否有场站用车报销额度,根据实际行程日期去自动计算公杂补贴,"场站用车是有早班或者晚班飞机才允许报销
首先计算符合场站用车 报销要求的机票行程次数，国内月结机票&月结火车票起飞在9点前，落地在22点后；再提取月结航班时间并转换成北京时间，再判断是否在早上9点前，晚上10点后

再按照符合的机票次数*150确认可报销额度上限",E30 不符合场站用车报销标准,"《锐捷网络员工费用管理与报销制度》
 4.3.2.1 允许报销：中国内地飞机起飞时间/火车出发时间在9:00（含）前，降落/到达时间在22:00（含）后产生的往/返交通费允许150元/次限额内实报实销。",场站用车额度不足,本次场站用车填报金额为 {填报金额} 元，但符合早班/晚班航班条件的场站用车可报销次数或额度不足。,【调减金额】,请核对航班时间和场站用车次数。符合条件但系统未识别的，请通过核销锐小财提交人工问询；不符合条件的，请删除或调减场站用车费用。,travel_r06_检查是否有场站用车报销额度,E30,检查是否有场站用车报销额度,根据实际行程日期去自动计算公杂补贴,"场站用车是有早班或者晚班飞机才允许报销
首先计算符合场站用车 报销要求的机票行程次数，国内月结机票&月结火车票起飞在9点前，落地在22点后；再提取月结航班时间并转换成北京时间，再判断是否在早上9点前，晚上10点后

再按照符合的机票次数*150确认可报销额度上限",E30 不符合场站用车报销标准,"《锐捷网络员工费用管理与报销制度》
 4.3.2.1 允许报销：中国内地飞机起飞时间/火车出发时间在9:00（含）前，降落/到达时间在22:00（含）后产生的往/返交通费允许150元/次限额内实报实销。",场站用车额度不足,本次场站用车填报金额为 {填报金额} 元，但符合早班/晚班航班条件的场站用车可报销次数或额度不足。,【调减金额】,请核对航班时间和场站用车次数。符合条件但系统未识别的，请通过核销锐小财提交人工问询；不符合条件的，请删除或调减场站用车费用。
7,差旅费-公杂补贴,检查含餐会议是否多申请补助（含餐会议仅能领取首尾两日补助）,根据实际行程日期去自动计算公杂补贴,"1、首先校验实际出差天数减去差旅行程天数是否大于2，若是则驳回告知返回差旅申请系统修改行程；小于等于2则继续计算
2、按照实际行程天数，现有补助计算逻辑，自动计算补助金额

对应城市差旅标准，核销表单字段公杂补助金额，核销表单字段会议培训（含餐）
检查核销表单中字段公杂补助金额，若核销表单中字段出差目的为会议培训（含餐），则补助仅报销首尾两天*对应城市标准
",E25 不符合会议培训（含餐）差补标准,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",补助天数超标准,会议培训（含餐）场景下，本次申请公杂补助天数 {申请补助天数} 天，高于首尾两日可补助范围。,【调减金额】【修正行程】,请按首尾两日补助标准调整金额；如行程天数或含餐标识有误，请返回差旅申请系统修正后重新提交。,travel_r07_检查含餐会议是否多申请补助_含餐会议仅能领取首尾两日补助,E25,检查含餐会议是否多申请补助（含餐会议仅能领取首尾两日补助）,根据实际行程日期去自动计算公杂补贴,"1、首先校验实际出差天数减去差旅行程天数是否大于2，若是则驳回告知返回差旅申请系统修改行程；小于等于2则继续计算
2、按照实际行程天数，现有补助计算逻辑，自动计算补助金额

对应城市差旅标准，核销表单字段公杂补助金额，核销表单字段会议培训（含餐）
检查核销表单中字段公杂补助金额，若核销表单中字段出差目的为会议培训（含餐），则补助仅报销首尾两天*对应城市标准
",E25 不符合会议培训（含餐）差补标准,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",补助天数超标准,会议培训（含餐）场景下，本次申请公杂补助天数 {申请补助天数} 天，高于首尾两日可补助范围。,【调减金额】【修正行程】,请按首尾两日补助标准调整金额；如行程天数或含餐标识有误，请返回差旅申请系统修正后重新提交。
8,差旅费-公杂补贴,检查补助领取金额是否正确,新增 差旅申请系统行程信息,若核销表单中字段出差目的为 其他（非会议培训（含餐）的场景，未穷举），则补助仅报销出差天数*对应公杂补贴 城市标准,E31 改为 E39 补助领取申请金额错误,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",补助天数超标准,本次公杂补助填报金额为 {填报金额} 元，与系统按出差天数和城市标准计算的应报金额 {应报金额} 元不一致。,【调减金额】【修正行程】,请核对出差天数、城市标准和补助金额；如行程信息有误，请先修正差旅行程后重新计算。,travel_r08_检查补助领取金额是否正确,E39,检查补助领取金额是否正确,新增 差旅申请系统行程信息,若核销表单中字段出差目的为 其他（非会议培训（含餐）的场景，未穷举），则补助仅报销出差天数*对应公杂补贴 城市标准,E31 改为 E39 补助领取申请金额错误,"《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",补助天数超标准,本次公杂补助填报金额为 {填报金额} 元，与系统按出差天数和城市标准计算的应报金额 {应报金额} 元不一致。,【调减金额】【修正行程】,请核对出差天数、城市标准和补助金额；如行程信息有误，请先修正差旅行程后重新计算。
9,差旅费-城市间交通费-自驾车,检查自驾车的票据日期与核销单中差旅行程日期是否一致,费用表单提单已校验,"发票票种、发票行程日期、核销单中行程日期
限制对发票票种为RJ-003通行费电子发票、RJ-003数电发票（通行费发票）、1-009过路（过桥）费发票进行检查
提取票据通行日期与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的日期+1天一致，两边日期格式可能不一样
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-2 自驾车（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,自驾车票据 发票号 {发票号} 的票据日期 {票据日期} 与自驾车行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请上传本次自驾差旅行程对应日期的票据；若非本次差旅票据，请提供本次差旅行程产生的票据。,travel_r09_检查自驾车的票据日期与核销单中差旅行程日期是否一致,E20-2,检查自驾车的票据日期与核销单中差旅行程日期是否一致,费用表单提单已校验,"发票票种、发票行程日期、核销单中行程日期
限制对发票票种为RJ-003通行费电子发票、RJ-003数电发票（通行费发票）、1-009过路（过桥）费发票进行检查
提取票据通行日期与核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的日期+1天一致，两边日期格式可能不一样
如果不在日期区间就要驳回；如果在日期区间则通过。",E20-2 自驾车（自购费用）发票日期与差旅日期不匹配,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",行程日期不符,自驾车票据 发票号 {发票号} 的票据日期 {票据日期} 与自驾车行程日期 {行程日期} 不匹配。,【核对行程】【换开发票】,请上传本次自驾差旅行程对应日期的票据；若非本次差旅票据，请提供本次差旅行程产生的票据。
10,差旅费-城市间交通费-自驾车,检查自驾车发票金额是否充足,查询核销单信息接口,"核销单中里程数字段
发票金额、核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的合计金额、金额合理性上限检查标准-理论申请核销金额
首先检查核销单中金额合理性，自驾车子类型申请金额是否超过理论申请核销金额，理论申请核销金额的计算方式为核销单中自驾车里程数*补贴额度（国内：1元每公里；国际：XX，后期再补充）
检查核销单中自驾车子类型申请金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的合计金额≤自购自驾车发票金额","E32 自驾车费用项申请金额超标
E31-1 自驾车表单发票金额不足","《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,自驾车填报金额为 {填报金额} 元，高于有效自驾票据金额 {票据金额} 元或理论可报销金额 {理论金额} 元。,【补充发票】【调减金额】,请补充通行费、油费等自驾票据，或将填报金额调减至有效票据金额及里程补贴上限以内。,travel_r10_检查自驾车发票金额是否充足,E31-1,检查自驾车发票金额是否充足,查询核销单信息接口,"核销单中里程数字段
发票金额、核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的合计金额、金额合理性上限检查标准-理论申请核销金额
首先检查核销单中金额合理性，自驾车子类型申请金额是否超过理论申请核销金额，理论申请核销金额的计算方式为核销单中自驾车里程数*补贴额度（国内：1元每公里；国际：XX，后期再补充）
检查核销单中自驾车子类型申请金额是否超过发票金额，核销单中自购大交通费用-飞机、火车、巴士、轮船的类型为【自驾车】的合计金额≤自购自驾车发票金额","E32 自驾车费用项申请金额超标
E31-1 自驾车表单发票金额不足","《锐捷网络员工费用管理与报销制度》
 4.3差旅费报销标准及费用项目范围",金额不足,自驾车填报金额为 {填报金额} 元，高于有效自驾票据金额 {票据金额} 元或理论可报销金额 {理论金额} 元。,【补充发票】【调减金额】,请补充通行费、油费等自驾票据，或将填报金额调减至有效票据金额及里程补贴上限以内。
11,差旅费-城市间交通费-其他大交通（轮船、客车）,检查是否代他人核销差旅费,新增 差旅申请系统行程信息,使用发票票种为1-012客运车票、RJ-004轮船票，发票旅客姓名必须与核销单中核销人姓名一致,E29-1 其他大交通（轮船、客车）票面旅客姓名与表单核销人姓名不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",非本人票据,轮船/客车票 发票号 {发票号} 的旅客姓名为 {旅客姓名}，与核销人 {核销人姓名} 不一致。,【换开发票】,请删除该票据，并上传本人真实出行对应的交通票据。,travel_r11_检查是否代他人核销差旅费,E29-1,检查是否代他人核销差旅费,新增 差旅申请系统行程信息,使用发票票种为1-012客运车票、RJ-004轮船票，发票旅客姓名必须与核销单中核销人姓名一致,E29-1 其他大交通（轮船、客车）票面旅客姓名与表单核销人姓名不一致,"《锐捷网络员工费用管理与报销制度》
 5.2票据使用规范
 所有费用报销须提供真实、合法、合规的票据。",非本人票据,轮船/客车票 发票号 {发票号} 的旅客姓名为 {旅客姓名}，与核销人 {核销人姓名} 不一致。,【换开发票】,请删除该票据，并上传本人真实出行对应的交通票据。
